ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
65,8,6,2,3,13,4,5,8,4,9,4,4,4,4,7,6,5,7,5,5,4,2,7,1,3,6,5,5,2,3,4,2,7,1,3,5
66,5,8,6,2,3,12,4,5,8,3,7,4,4,4,4,7,6,5,7,5,5,3,2,7,1,3,6,4,5,2,5,4,2,7,2,3
67,5,6,8,6,2,3,12,4,5,8,4,7,4,4,4,3,7,6,5,6,5,4,3,3,7,1,3,6,4,5,5,4,4,3,6,2
68,5,5,5,7,6,2,3,13,4,5,8,4,7,6,4,6,3,7,8,5,6,5,5,3,3,7,None,3,6,3,6,5,5,4,3,6
69,5,6,5,5,7,6,2,3,12,4,5,6,4,7,6,4,6,3,7,8,5,6,5,3,3,2,7,None,3,6,5,6,5,4,4,2
70,5,4,6,4,5,7,6,2,3,13,4,5,6,4,7,6,4,5,3,7,7,5,5,5,3,3,2,7,1,3,6,5,6,4,4,4
71,11,5,4,6,4,6,7,6,2,3,12,3,5,6,4,7,5,4,5,3,7,7,5,5,5,2,3,2,7,1,6,7,5,5,4,3
72,9,11,6,4,6,3,5,7,6,2,3,12,3,5,6,4,7,5,4,5,3,7,7,5,5,5,2,4,2,7,4,7,7,5,5,4
73,4,9,12,5,5,6,3,5,7,6,2,3,12,3,5,5,4,7,5,5,5,2,7,8,5,5,5,2,5,2,4,3,7,8,5,5
74,10,3,8,10,5,4,6,3,6,7,6,2,2,12,3,5,5,3,7,5,4,5,2,6,7,5,5,6,2,5,5,4,3,8,6,6
75,4,9,2,8,11,5,4,6,3,6,7,6,2,1,12,3,5,5,3,6,4,4,5,2,6,7,5,5,6,2,4,5,4,3,7,6
76,2,4,8,2,7,10,5,4,6,3,6,6,6,2,2,12,3,5,5,3,6,4,4,5,2,5,7,5,5,6,6,4,5,4,3,6
77,9,2,3,9,1,8,9,5,4,5,3,6,6,5,2,2,12,3,5,5,3,6,4,4,6,2,5,6,5,4,3,7,4,4,5,3
78,5,8,2,3,8,3,7,8,6,4,5,3,5,6,5,2,2,11,3,5,5,3,6,3,3,4,2,4,6,5,5,3,7,3,4,4
79,None,5,7,1,3,6,2,7,7,3,3,5,2,5,6,5,2,2,9,3,5,5,3,7,3,3,3,3,4,6,5,5,3,9,3,4
80,None,None,5,6,1,2,6,2,7,7,3,3,3,1,4,6,5,2,2,10,3,6,5,3,7,3,3,3,4,4,3,5,5,3,7,3
81,3,None,None,5,6,1,2,5,2,7,7,3,3,2,1,4,6,5,2,2,10,3,7,4,3,6,2,3,3,3,9,3,5,4,3,6
82,3,2,None,1,3,5,1,2,5,2,6,6,2,3,1,3,4,5,4,2,2,10,3,6,4,3,6,3,4,1,2,9,3,4,4,3
83,1,3,1,None,None,3,6,1,1,4,3,5,6,1,1,1,2,4,4,3,2,2,8,2,7,4,3,6,2,4,2,2,8,1,4,3
84,4,1,3,None,None,None,3,5,1,2,4,2,4,5,1,1,1,2,4,3,2,2,2,6,1,6,4,3,6,2,2,2,2,5,1,3
85,1,2,1,1,1,1,1,2,2,3,2,3,2,4,4,2,1,1,2,4,3,2,2,2,4,2,5,5,None,5,3,2,2,2,5,2
86,1,1,1,1,1,1,1,2,2,2,1,2,2,2,4,4,2,1,1,2,4,3,2,2,2,3,2,5,6,None,5,3,2,2,2,5
87,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,2,4,2,1,1,2,2,3,2,1,2,2,3,4,4,2,3,3,1,1,2
88,1,1,1,1,1,1,None,1,1,1,2,3,1,None,None,1,2,3,1,1,1,2,1,1,1,3,2,2,3,4,1,2,2,2,1,2
89,None,1,1,1,1,1,None,1,1,1,None,2,3,1,None,None,None,2,3,None,1,1,2,1,1,1,2,3,3,2,1,1,2,2,2,1
90,1,2,1,2,2,None,1,2,2,2,None,None,None,2,1,None,None,None,2,3,None,1,None,1,None,1,1,1,4,2,None,1,None,1,1,2
91,None,None,None,None,None,None,None,None,1,1,None,None,None,None,3,1,None,None,None,2,1,None,1,None,1,None,2,1,1,4,1,None,1,None,1,1
92,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,3,1,None,None,None,2,1,None,1,None,1,None,1,1,1,3,1,None,None,None,1
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,1,None,1,None,2,1,None,None,None,1,None,None,1,None,2,1,None,None,None
94,None,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,3,1,None,1,None,1,1,None,None,None,1,None,None,1,None,1,1,None,None
95,None,None,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,3,1,None,1,None,1,1,None,None,None,1,None,None,1,None,None,1,None
96,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,1,1,None,1,None,None,1,None,None,None,1,1,None,1,None,None,1
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,None,1,1,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,1,1,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1,None,None
